City,Temperature_Max,Latitude,Longitude,Humidity %,Cloudiness %,Wind Speed
‘Āhuimanu,26.0,21.44,-157.84,57,20,7.7
Tahe,6.4,52.33,124.73,60,51,0.64
Lensk,-11.8,60.73,114.93,83,97,6.05
Samarai,28.9,-10.62,150.67,78,50,3.69
Mazabuka,16.3,-15.86,27.75,88,63,1.78
Trincomalee,27.7,8.57,81.23,66,0,2.7
Nioro,19.9,13.35,-15.75,45,100,3.92
Bonavista,-2.78,48.65,-53.11,72,97,6.71
Escuinapa,22.0,22.85,-105.8,68,5,1.5
Mehamn,1.3,71.04,27.85,80,99,9.12
Turbat,18.7,26.0,63.04,52,0,0.68
Talnakh,-15.0,69.49,88.4,84,75,15.0
Paamiut,-12.6,61.99,-49.67,58,6,4.75
Saldanha,15.0,-33.01,17.94,82,52,2.6
Hobyo,27.5,5.35,48.53,78,95,3.39
Hambantota,23.0,6.12,81.12,100,0,1.5
Aktash,-15.0,50.3,87.73,81,100,1.06
Manggar,27.6,-2.88,108.27,74,94,1.07
Nhulunbuy,29.0,-12.23,136.77,70,75,6.7
Lagoa,15.4,39.05,-27.98,81,22,9.49
Linqiong,21.0,30.42,103.46,68,40,0.92
Kilembe,18.1,0.2,30.0,89,25,0.88
Barraute,-1.0,48.43,-77.63,86,75,3.1
Ørje,2.78,59.48,11.66,86,100,1.79
Ponta Delgada,14.0,37.73,-25.67,67,75,4.6
Sibolga,31.0,1.74,98.78,59,45,0.32
Tiznit Province,8.9,29.58,-9.5,85,82,6.82
Codrington,14.7,-38.27,141.97,68,100,4.83
Ciudad del Carmen,24.9,18.63,-91.83,77,0,2.45
São Filipe,19.8,14.9,-24.5,75,54,5.83
Buin,20.0,-33.73,-70.75,34,0,3.1
Shahreza,2.2,32.03,51.88,74,33,0.8
Torbat-e Jām,6.4,35.24,60.62,85,100,7.18
Ternate,28.6,0.8,127.4,70,100,2.88
Jardim,20.2,-21.48,-56.14,68,0,2.46
Wanning,27.1,18.8,110.4,72,18,3.87
Warrington,6.0,53.39,-2.58,70,27,4.6
Yar-Sale,-4.9,66.83,70.83,81,33,7.84
Sohag,20.0,26.56,31.69,37,9,2.1
Zhigansk,-17.8,66.77,123.37,94,100,9.89
Avera,18.0,33.19,-82.53,96,90,2.1
Matara,27.5,5.95,80.54,65,0,3.28
Iskateley,-4.4,67.68,53.15,91,100,7.55
Port Lincoln,15.8,-34.73,135.87,82,100,3.54
Tromsø,6.0,69.65,18.96,60,90,10.3
Honiara,31.0,-9.43,159.95,70,20,4.1
Rāmhormoz,10.0,31.28,49.6,93,0,1.0
Vilyuysk,-15.0,63.76,121.62,91,100,5.69
Abasolo,27.0,20.45,-101.52,24,40,0.12
Jaru,23.0,-10.44,-62.47,94,73,0.86
Benalla,21.11,-36.55,145.98,49,100,2.6
Talcahuano,15.0,-36.72,-73.12,100,90,2.1
Oneonta,1.11,42.45,-75.06,86,100,1.16
Belle Fourche,7.78,44.67,-103.85,51,20,2.1
Bay Roberts,-2.78,47.6,-53.26,73,20,7.2
Tamworth,3.89,52.63,-1.7,93,25,3.1
Meadow Lake,15.56,34.8,-106.54,19,1,9.3
Farafenni,19.9,13.57,-15.6,45,100,3.92
Eyl,25.7,7.98,49.82,74,100,4.2
Alyangula,29.0,-13.85,136.42,79,90,4.1
Tucupita,22.4,9.06,-62.05,88,0,1.82
Valparaíso,14.0,-33.04,-71.63,87,0,2.1
Terney,3.1,45.05,136.61,51,0,2.71
Mincivan,3.3,39.03,46.72,82,0,0.83
Bathsheba,26.0,13.22,-59.52,74,40,8.7
Tsimmerbude,-6.0,54.67,20.13,85,0,2.0
Alnashi,-0.9,56.19,52.48,97,100,8.16
Räpina,-2.22,58.1,27.46,79,0,1.0
